player_name,nationality,type,teams,year,sponsored_by,sold_price
Robin Uthappa,Indian,Batsman,Chennai Super Kings,2022,TATA,20000000
Dwayne Bravo,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,44000000
Ambati Rayudu,Indian,Wicket Keeper,Chennai Super Kings,2022,TATA,67500000
Deepak Chahar,Indian,Bowler,Chennai Super Kings,2022,TATA,140000000
C.Hari Nishaanth,Indian,Batsman,Chennai Super Kings,2022,TATA,2000000
N. Jagadeesan,Indian,Wicket Keeper,Chennai Super Kings,2022,TATA,2000000
K.M. Asif,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Tushar Deshpande,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Shivam Dube,Indian,All-Rounder,Chennai Super Kings,2022,TATA,40000000
Chris Jordan,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,36000000
Maheesh Theekshana,Overseas,Bowler,Chennai Super Kings,2022,TATA,7000000
Rajvardhan Hangargekar,Indian,All-Rounder,Chennai Super Kings,2022,TATA,15000000
Simarjeet Singh,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Devon Conway,Overseas,Batsman,Chennai Super Kings,2022,TATA,10000000
Dwaine Pretorius,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,5000000
Mitchell Santner,Overseas,All-Rounder,Chennai Super Kings,2022,TATA,19000000
Adam Milne,Overseas,Bowler,Chennai Super Kings,2022,TATA,19000000
Subhranshu Senapati,Indian,Batsman,Chennai Super Kings,2022,TATA,2000000
Mukesh Choudhary,Indian,Bowler,Chennai Super Kings,2022,TATA,2000000
Prashant Solanki,Indian,Bowler,Chennai Super Kings,2022,TATA,12000000
K.Bhagath Varma,Indian,All-Rounder,Chennai Super Kings,2022,TATA,2000000
David Warner,Overseas,Batsman,Delhi Capitals,2022,TATA,62500000
Mitchell Marsh,Overseas,All-Rounder,Delhi Capitals,2022,TATA,65000000
Mustafizur Rahman,Overseas,Bowler,Delhi Capitals,2022,TATA,20000000
Shardul Thakur,Indian,Bowler,Delhi Capitals,2022,TATA,107500000
Kuldeep Yadav,Indian,Bowler,Delhi Capitals,2022,TATA,20000000
Ashwin Hebbar,Indian,Batsman,Delhi Capitals,2022,TATA,2000000
Sarfaraz Khan,Indian,All-Rounder,Delhi Capitals,2022,TATA,2000000
Kamlesh Nagarkoti,Indian,All-Rounder,Delhi Capitals,2022,TATA,11000000
K.S. Bharat,Indian,Wicket Keeper,Delhi Capitals,2022,TATA,20000000
Mandeep Singh,Indian,Batsman,Delhi Capitals,2022,TATA,11000000
Syed Khaleel Ahmed,Indian,Bowler,Delhi Capitals,2022,TATA,52500000
Lungisani Ngidi,Overseas,Bowler,Delhi Capitals,2022,TATA,5000000
Chetan Sakariya,Indian,Bowler,Delhi Capitals,2022,TATA,42000000
