,Player,Inns,Runs,Avg,SR,50,100,4s,6s
0,AB de Villiers,77,2592,42.345,156.15333333333334,25,1,195,148
1,Aaron Finch,51,1180,24.098,136.744,9,0,114,49
2,Abdul Samad,20,226,12.176666666666668,118.49333333333334,0,0,12,14
3,Abhijeet Tomar,1,4,4.0,50.0,0,0,1,0
4,Abhinav Manohar,7,108,18.0,144.0,0,0,14,3
5,Abhishek Sharma,34,667,25.692,136.292,2,0,64,25
6,Adam Milne,6,23,5.75,76.22,0,0,0,1
7,Adam Zampa,2,5,2.5,35.71,0,0,1,0
8,Aditya Tare,5,26,5.0,65.795,0,0,4,0
9,Aiden Markram,18,527,38.415,130.865,3,0,37,23
10,Ajinkya Rahane,73,1879,24.48857142857143,115.78571428571429,11,1,200,38
11,Akila Dananjaya,1,4,0.0,80.0,0,0,0,0
12,Akshdeep Nath,10,90,6.965,62.5775,0,0,7,2
13,Albie Morkel,1,16,16.0,177.77,0,0,0,2
14,Alex Carey,3,32,16.0,110.34,0,0,0,1
15,Alex Hales,6,148,24.66,125.42,0,0,13,6
16,Alzarri Joseph,5,20,2.5,93.4,0,0,2,0
17,Aman Khan,1,5,5.0,166.66,0,0,1,0
18,Ambati Rayudu,85,2199,29.771428571428572,125.77142857142857,11,1,179,100
19,Amit Mishra,13,75,15.375,65.075,0,0,4,2
20,Andre Russell,65,1649,31.43166666666667,170.98666666666668,7,0,99,153
21,Andrew Tye,13,91,9.4575,90.2175,0,0,6,5
22,Angelo Mathews,2,32,16.0,118.51,0,0,2,1
23,Aniket Choudhary,3,25,25.0,125.0,0,0,1,1
24,Ankit Bawne,1,12,0.0,100.0,0,0,1,0
25,Ankit Rajpoot,6,24,5.553333333333334,69.41666666666667,0,0,2,1
26,Ankit Sharma,2,28,12.5,133.32999999999998,0,0,2,1
27,Ankit Soni,3,7,3.5,77.77,0,0,0,1
28,Anmolpreet Singh,3,29,11.25,107.14,0,0,3,1
29,Anrich Nortje,6,8,3.0,66.66,0,0,0,0
30,Anuj Rawat,9,129,8.065,54.66,1,0,10,7
31,Anureet Singh,2,18,7.5,100.0,0,0,2,0
32,Arshdeep Singh,9,23,2.3333333333333335,46.35666666666666,0,0,3,0
33,Ashish Nehra,2,1,0.0,100.0,0,0,0,0
34,Ashish Reddy,3,47,23.5,162.06,0,0,2,4
35,Ashok Dinda,1,7,7.0,100.0,0,0,1,0
36,Ashton Turner,4,3,1.0,30.0,0,0,0,0
37,Avesh Khan,6,31,7.333333333333333,156.40666666666667,0,0,2,3
38,Axar Patel,68,867,20.571428571428573,128.78,0,0,48,45
39,Ayush Badoni,11,161,20.13,123.84,1,0,11,7
40,B Indrajith,3,21,7.0,70.0,0,0,2,0
41,Barinder Sran,9,10,1.0,80.95,0,0,0,0
42,Basil Thampi,8,32,1.0,83.33333333333333,0,0,1,1
43,Ben Cutting,16,230,22.75,164.6775,0,0,15,18
44,Ben Laughlin,2,1,1.0,25.0,0,0,0,0
45,Ben Stokes,42,920,21.828,106.29,2,2,79,32
46,Bhanuka Rajapaksa,9,206,22.89,159.68,0,0,16,13
47,Bhuvneshwar Kumar,33,130,9.094285714285714,87.03999999999999,0,0,14,1
48,Billy Stanlake,1,5,0.0,250.0,0,0,1,0
49,Bipul Sharma,7,82,28.25,166.57999999999998,0,0,3,6
50,Brendon McCullum,33,800,24.093333333333334,142.14000000000001,3,0,83,40
51,Carlos Brathwaite,14,181,12.5825,141.1675,0,0,10,16
52,Chetan Sakariya,6,16,3.2,64.0,0,0,2,0
53,Chris Gayle,60,1766,31.535,139.35166666666666,13,1,143,127
54,Chris Jordan,11,75,7.9319999999999995,91.684,0,0,3,3
55,Chris Lynn,39,1265,37.408,140.898,10,0,126,63
56,Chris Morris,38,528,28.171666666666667,150.79,2,0,38,30
57,Chris Woakes,12,78,6.666666666666667,107.90000000000002,0,0,7,2
58,Colin Ingram,12,184,18.4,119.48,0,0,20,5
59,Colin Munro,12,177,14.533333333333333,124.55,0,0,19,8
60,Colin de Grandhomme,21,303,19.093333333333334,128.92333333333332,0,0,18,18
61,Corey Anderson,14,159,12.97,96.35499999999999,0,0,8,10
62,D'Arcy Short,7,115,16.42,116.16,0,0,11,5
63,Dale Steyn,2,2,0.5,50.0,0,0,0,0
64,Dan Christian,19,119,10.376666666666667,99.44333333333333,0,0,6,6
65,Daniel Sams,13,44,3.81,68.51666666666667,0,0,1,3
66,Darren Bravo,1,6,0.0,120.0,0,0,1,0
67,Daryl Mitchell,2,33,16.5,75.0,0,0,1,0
68,David Miller,54,1136,33.48166666666666,120.765,4,0,80,43
69,David Warner,79,3356,49.925000000000004,138.33,32,2,327,113
70,David Wiese,1,5,0.0,125.0,0,0,0,0
71,David Willey,2,18,9.0,60.0,0,0,3,0
72,Dawid Malan,1,26,26.0,100.0,0,0,1,1
73,Deepak Chahar,12,79,8.232,128.368,0,0,2,6
74,Deepak Hooda,66,1085,31.12857142857143,126.71000000000001,6,0,71,45
75,Devdutt Padikkal,46,1260,28.42,124.32333333333334,7,1,135,36
76,Devon Conway,7,252,42.0,145.66,3,0,22,12
77,Dewald Brevis,7,161,23.0,142.47,0,0,14,11
78,Dhawal Kulkarni,10,38,3.7,121.14000000000001,0,0,3,0
79,Dhruv Shorey,2,13,6.5,75.69,0,0,0,1
80,Dinesh Karthik,102,2169,33.52285714285714,142.84714285714287,11,0,208,77
81,Dushmantha Chameera,8,43,10.75,153.57,0,0,3,3
82,Dwaine Pretorius,5,44,11.0,157.14,0,0,3,3
83,Dwayne Bravo,43,397,20.936666666666667,145.08,1,0,29,19
84,Dwayne Smith,24,563,25.585,149.89999999999998,5,0,67,24
85,Eklavya Dwivedi,2,24,12.0,171.42,0,0,2,2
86,Eoin Morgan,40,739,23.4325,114.015,2,0,54,36
87,Evin Lewis,26,654,24.9775,130.8525,4,0,62,36
88,Fabian Allen,4,14,7.0,82.14,0,0,1,0
89,Faf Du Plessis,16,468,31.2,127.52,3,0,49,13
90,Faf du Plessis,54,1854,32.791666666666664,128.22166666666666,16,0,173,67
91,Farhaan Behardien,3,14,7.0,107.69,0,0,2,0
92,Fazalhaq Farooqi,1,2,-1.0,25.0,0,0,0,0
93,Gautam Gambhir,36,1084,32.343333333333334,115.5,10,0,123,14
94,George Bailey,5,84,21.0,85.71,0,0,9,2
95,George Garton,3,2,2.0,50.0,0,0,0,0
96,Glenn Maxwell,74,1580,25.081666666666667,145.57333333333335,9,0,135,79
97,Glenn Phillips,3,26,13.0,78.78,0,0,1,2
98,Gurkeerat Mann Singh,14,282,18.419999999999998,120.04666666666667,2,0,30,5
99,Hanuma Vihari,2,4,2.0,50.0,0,0,0,0
100,Harbhajan Singh,20,142,9.864,84.67999999999999,0,0,14,4
101,Hardik Pandya,92,1851,29.861428571428572,139.21,7,0,137,102
102,Hardus Viljoen,3,3,1.5,42.85,0,0,0,0
103,Harpreet Brar,9,106,2.4433333333333334,121.66666666666667,0,0,6,5
104,Harry Gurney,1,1,0.0,20.0,0,0,0,0
105,Harshal Patel,22,183,18.77,101.564,0,0,13,10
106,Harshit Rana,2,2,2.0,100.0,0,0,0,0
107,Hashim Amla,16,577,43.08,138.88,3,2,60,21
108,Heinrich Klaasen,6,66,11.75,105.63499999999999,0,0,5,1
109,Hrithik Shokeen,3,43,21.5,89.58,0,0,5,0
110,Imran Tahir,4,20,1.25,75.355,0,0,3,0
111,Iqbal Abdulla,3,42,0.0,104.225,0,0,4,1
112,Irfan Pathan,4,13,2.83,75.63499999999999,0,0,0,0
113,Ish Sodhi,2,7,3.5,35.6,0,0,0,0
114,Ishan Kishan,70,1870,27.441428571428567,126.72714285714287,12,0,166,85
115,Ishank Jaggi,2,33,33.0,84.61,0,0,3,0
116,Ishant Sharma,6,18,2.0,199.995,0,0,2,1
117,Isuru Udana,4,15,5.0,136.36,0,0,1,1
118,JP Duminy,12,227,37.1,106.215,0,0,16,4
119,Jagadeesan Narayan,2,40,40.0,108.1,0,0,3,1
120,Jagadeesha Suchith,4,22,2.3333333333333335,99.44333333333334,0,0,2,1
121,James Faulkner,11,131,19.58,112.61500000000001,0,0,11,0
122,James Neesham,2,31,15.5,114.81,0,0,3,0
123,James Pattinson,2,15,15.0,115.38,0,0,2,0
124,Jason Holder,23,231,15.5825,122.53999999999999,0,0,11,16
